Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq
206.0,0.0,7.0,0.0,213,1642,0.010554279891977667,986417 -1  -2 
217.0,0.0,7.0,0.0,224,1642,0.009743366907096306,956874 -1 956874 -1 956874 -1  -2 
204.0,0.0,6.0,0.0,210,1642,0.007019409047407581,956874 -1 956874 -1 1125315 -1  -2 
166.0,0.0,5.0,0.0,171,1642,0.005935093096407462,967823 -1  -2 
168.0,0.0,5.0,0.0,173,1642,0.005817358604782912,19049105 -1 956874 -1 956874 -1  -2 
168.0,0.0,5.0,0.0,173,1642,0.005817358604782912,1125315 -1 923645 -1  -2 
178.0,0.0,5.0,0.0,183,1642,0.005269666565486562,956874 -1 956874 -1 1174888 -1  -2 
193.0,0.0,5.0,0.0,198,1642,0.004558677782602417,956874 -1 19049105 -1 956874 -1  -2 
195.0,0.0,5.0,0.0,200,1642,0.004472546963913066,1307046 -1 956874 -1  -2 
202.0,0.0,5.0,0.0,207,1642,0.004185287575193188,1308216 -1 956874 -1  -2 
204.0,0.0,5.0,0.0,209,1642,0.004107056945304881,19049105 -1 19121608 -1  -2 
220.0,0.0,5.0,0.0,225,1642,0.003535893204966049,1503297 -1  -2 
162.0,0.0,4.0,0.0,166,1642,0.003235764266004224,1308216 -1 1125315 1174888 -1  -2 
164.0,0.0,4.0,0.0,168,1642,0.003159234608646228,1125315 1174888 -1 956874 -1 1125315 -1  -2 
168.0,0.0,4.0,0.0,172,1642,0.0030120668141918466,956874 -1 1307046 -1  -2 
169.0,0.0,4.0,0.0,173,1642,0.002976452782458154,1332418 -1 1125315 -1  -2 
171.0,0.0,4.0,0.0,175,1642,0.0029065819171638215,1539403 -1 1125315 -1  -2 
177.0,0.0,4.0,0.0,181,1642,0.0027072897126561115,19049105 -1 956874 -1 1125315 -1  -2 
183.0,0.0,4.0,0.0,187,1642,0.0025223259512727005,1307046 -1 19049105 -1  -2 
184.0,0.0,4.0,0.0,188,1642,0.002492796050708478,1125315 -1 1308216 -1  -2 
258.0,0.0,5.0,0.0,263,1642,0.002486502610339821,956874 19049105 -1  -2 
189.0,0.0,4.0,0.0,193,1642,0.002350363970673795,1174888 -1 956874 -1 956874 -1  -2 
193.0,0.0,4.0,0.0,197,1642,0.002242364442518967,19121608 -1 19121608 -1  -2 
194.0,0.0,4.0,0.0,198,1642,0.0022161491425671644,956874 -1 19049105 -1 1125315 -1  -2 
195.0,0.0,4.0,0.0,199,1642,0.0021902383225504032,974166 -1 956874 -1  -2 
199.0,0.0,4.0,0.0,203,1642,0.002089550957623273,956874 -1 19121608 -1  -2 
208.0,0.0,4.0,0.0,212,1642,0.0018791697558902807,1125315 -1 956874 -1 1174888 -1  -2 
208.0,0.0,4.0,0.0,212,1642,0.0018791697558902807,1125315 -1 956874 -1 19049105 -1  -2 
259.0,0.0,0.0,0.0,259,1642,0.0016130625144023436,1518254 -1 1518254 -1  -2 
241.0,0.0,0.0,0.0,241,1642,0.0014814788794856011,1734104 -1 1734104 -1  -2 
234.0,0.0,0.0,0.0,234,1642,0.0014312251741848221,1125315 -1 1754994 -1  -2 
228.0,0.0,0.0,0.0,228,1642,0.0013885505481120587,1000560 -1 1000560 -1  -2 
224.0,0.0,0.0,0.0,224,1642,0.001360303430948985,1126658 -1  -2 
221.0,0.0,0.0,0.0,221,1642,0.0013392234927675872,1734104 -1 1154343 -1  -2 
212.0,0.0,0.0,0.0,212,1642,0.0012765196088551237,19049105 -1 1797513 -1  -2 
210.0,0.0,0.0,0.0,210,1642,0.0012626935056323002,1000560 -1 1125315 -1  -2 
210.0,0.0,0.0,0.0,210,1642,0.0012626935056323002,1518254 -1 1000560 -1  -2 
207.0,0.0,0.0,0.0,207,1642,0.0012420273246011415,1713332 -1 1734104 -1  -2 
