notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
1412.0,800.0,0.63834,1.0,1270.0,0.00079,0.40568,3483,14711,0.013119369306846044,1518254 -1  -2 
1420.0,745.0,0.65589,0.0,1241.0,0,0.41691,3406,14711,0.012579563194435643,1000560 -1  -2 
1682.0,963.0,0.63592,0.0,1292.0,0,0.42723,3937,14711,0.00546025617215931,1742253 -1  -2 
1692.0,832.0,0.67036,0.0,1215.0,0,0.45253,3739,14711,0.004503189747298933,1551099 -1  -2 
1557.0,802.0,0.66003,0.0,1145.0,0,0.44435,3504,14711,0.004429996669621601,1125315 -1 956874 -1  -2 
1510.0,709.0,0.68049,0.0,1064.0,0,0.45995,3283,14711,0.0036666589891834814,1125315 -1 19049105 -1  -2 
1338.0,669.0,0.66667,0.0,974.0,0,0.44884,2981,14711,0.00359320943210625,1174888 -1 956874 -1  -2 
1645.0,811.0,0.66979,0.0,1157.0,0,0.4553,3613,14711,0.003541123714855011,1154029 -1  -2 
1431.0,617.0,0.69873,0.0,982.0,0,0.47228,3030,14711,0.003309432762024129,19049105 -1 1125315 -1  -2 
1538.0,626.0,0.71072,1.0,1025.0,0.00097,0.48245,3190,14711,0.0031947114682276583,1153013 -1  -2 
1628.0,857.0,0.65513,0.0,1154.0,0,0.44738,3639,14711,0.003110357463605122,1124957 -1  -2 
1771.0,733.0,0.70727,0.0,1132.0,0,0.48707,3636,14711,0.002330098386186187,1797513 -1  -2 
2218.0,802.0,0.73444,1.0,951.0,0.00105,0.55866,3972,14711,0.0021716332129332857,1308216 -1  -2 
1530.0,693.0,0.68826,0.0,1001.0,0,0.47457,3224,14711,0.001902214107473657,956874 -1 1125315 -1  -2 
1405.0,671.0,0.67678,0.0,921.0,0,0.4688,2997,14711,0.0014459853056976084,956874 -1 956874 -1  -2 
1875.0,922.0,0.67036,1.0,1204.0,0.00083,0.46877,4002,14711,0.0014017439715799597,1154343 -1  -2 
2731.0,1036.0,0.72498,1.0,1271.0,0.00079,0.54217,5039,14711,0.001198867339561328,19121608 -1  -2 
2066.0,877.0,0.702,0.0,992.0,0,0.52503,3935,14711,8.665038238372661E-4,1307046 -1  -2 
1851.0,579.0,0.76173,1.0,818.0,0.00122,0.57002,3249,14711,6.736727653153584E-4,974166 -1  -2 
1731.0,706.0,0.7103,0.0,991.0,0,0.50496,3428,14711,3.5693083224556585E-4,1125315 -1 1125315 -1 1125315 -1  -2 
1551.0,608.0,0.71839,0.0,883.0,0,0.50986,3042,14711,3.5537414484127785E-4,1125315 -1 1125315 -1 1174888 -1  -2 
1676.0,738.0,0.69428,0.0,956.0,0,0.49733,3370,14711,1.456294250872424E-4,1786621 -1  -2 
1737.0,659.0,0.72496,0.0,866.0,0,0.5325,3262,14711,9.937603143154578E-5,1125315 -1 1713332 -1  -2 
2096.0,691.0,0.75206,1.0,1037.0,0.00096,0.54824,3825,14711,1.0487765280967695E-5,1506270 -1  -2 
1536.0,607.0,0.71675,0.0,814.0,0,0.51945,2957,14711,2.7350875711674357E-6,708298 -1  -2 
1655.0,671.0,0.71152,0.0,883.0,0,0.51574,3209,14711,2.5757626312706283E-6,1125315 1174888 -1 1125315 1174888 -1  -2 
2526.0,878.0,0.74207,0.0,1279.0,0,0.5394,4683,14711,1.128540152654017E-6,1734104 -1  -2 
1629.0,651.0,0.71447,0.0,861.0,0,0.51862,3141,14711,1.2935954836192505E-7,1713332 -1 1125315 -1  -2 
