Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq,semantic
380.0,0.0,8.0,0.0,388,1642,0.0053808571389679545,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
493.0,0.0,0.0,0.0,493,1642,0.0037034453524497366,1000560 -1  -2 ,'Ondansetron' -1 -2 
354.0,0.0,6.0,0.0,360,1642,0.002206151532664168,19049105 -1 956874 -1  -2 ,'Potassium Chloride' -1 'Furosemide' -1 -2 
356.0,0.0,6.0,0.0,362,1642,0.002171818617082512,1308216 -1  -2 ,'Lisinopril' -1 -2 
370.0,0.0,6.0,0.0,376,1642,0.0019439552406451698,956874 -1 19049105 -1  -2 ,'Furosemide' -1 'Potassium Chloride' -1 -2 
442.0,0.0,1.0,0.0,443,1642,0.0017205643864514892,1154029 -1  -2 ,'Fentanyl' -1 -2 
435.0,0.0,1.0,0.0,436,1642,0.0016640446814080972,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
400.0,0.0,6.0,0.0,406,1642,0.0015212081037860015,956874 -1 1125315 -1  -2 ,'Furosemide' -1 'Acetaminophen' -1 -2 
555.0,0.0,2.0,0.0,557,1642,0.0014814898030271835,1518254 -1  -2 ,'Dexamethasone' -1 -2 
381.0,0.0,1.0,0.0,382,1642,0.0012535410218623279,19055720 -1  -2 ,'HEPARIN. BEEF' -1 -2 
339.0,0.0,5.0,0.0,344,1642,0.00113318276640337,956874 -1 1174888 -1  -2 ,'Furosemide' -1 'Hydrocodone' -1 -2 
452.0,0.0,6.0,0.0,458,1642,9.583701624257563E-4,1125315 -1 956874 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 -2 
357.0,0.0,5.0,0.0,362,1642,9.356588860829585E-4,974166 -1  -2 ,'Hydrochlorothiazide' -1 -2 
379.0,0.0,5.0,0.0,384,1642,7.29999073667947E-4,1307046 -1  -2 ,'Metoprolol' -1 -2 
420.0,0.0,2.0,0.0,422,1642,5.87121321577875E-4,1153013 -1  -2 ,'Promethazine' -1 -2 
380.0,0.0,2.0,0.0,382,1642,3.884827369690856E-4,1125315 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
371.0,0.0,2.0,0.0,373,1642,3.4826182951173273E-4,1786621 -1  -2 ,'Cephalexin' -1 -2 
333.0,0.0,4.0,0.0,337,1642,3.415615069560753E-4,1125315 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
367.0,0.0,2.0,0.0,369,1642,3.309373101233303E-4,791967 -1  -2 ,'Lorazepam' -1 -2 
495.0,0.0,3.0,0.0,498,1642,3.2248794697103516E-4,1551099 -1  -2 ,'Prednisone' -1 -2 
353.0,0.0,4.0,0.0,357,1642,2.3580223673837791E-4,19049105 -1 19049105 -1  -2 ,'Potassium Chloride' -1 'Potassium Chloride' -1 -2 
342.0,0.0,2.0,0.0,344,1642,2.3067584970069369E-4,1125315 -1 1124957 -1  -2 ,'Acetaminophen' -1 'Oxycodone' -1 -2 
358.0,0.0,4.0,0.0,362,1642,2.130954015270087E-4,1174888 -1 19049105 -1  -2 ,'Hydrocodone' -1 'Potassium Chloride' -1 -2 
335.0,0.0,2.0,0.0,337,1642,2.0519395358463988E-4,1713332 -1 1125315 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' -1 -2 
333.0,0.0,2.0,0.0,335,1642,1.981316469017853E-4,1734104 -1 1125315 -1  -2 ,'Azithromycin' -1 'Acetaminophen' -1 -2 
330.0,0.0,2.0,0.0,332,1642,1.8772341434847973E-4,1125315 -1 1734104 -1  -2 ,'Acetaminophen' -1 'Azithromycin' -1 -2 
436.0,0.0,3.0,0.0,439,1642,1.236689811825551E-4,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
500.0,0.0,5.0,0.0,505,1642,9.93158476977629E-5,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
492.0,0.0,4.0,0.0,496,1642,1.0912686998512594E-5,1154343 -1  -2 ,'Albuterol' -1 -2 
331.0,0.0,3.0,0.0,334,1642,6.276912813545624E-6,1705674 1836430 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 -2 
