notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq,semantic
525.0,246.0,0.68093,0.0,858.0,0,0.32228,1629,14711,0.017446280269247806,1129625 -1 -2,'Diphenhydramine' -1 -2 
816.0,450.0,0.64455,2.0,1149.0,0.00174,0.33844,2417,14711,0.014021262963782977,19055720 -1 -2,'HEPARIN. BEEF' -1 -2 
504.0,289.0,0.63556,2.0,774.0,0.00258,0.3225,1569,14711,0.011136335994956656,19136030 -1 -2,'Saline Solution. Hypertonic' -1 -2 
505.0,250.0,0.66887,1.0,725.0,0.00138,0.34166,1481,14711,0.00980790226645734,1125315 -1791967 -1 -2,'Acetaminophen' -1791967 -1 -2 
779.0,286.0,0.73146,0.0,916.0,0,0.39324,1981,14711,0.008760103347424202,1125315 -11000560 -1 -2,'Acetaminophen' -11000560 -1 -2 
746.0,200.0,0.78858,0.0,819.0,0,0.42266,1765,14711,0.00789160356861487,1754994 -1 -2,'Fluconazole' -1 -2 
646.0,248.0,0.7226,0.0,777.0,0,0.38659,1671,14711,0.00754106544424989,1174888 -11000560 -1 -2,'Hydrocodone' -11000560 -1 -2 
592.0,223.0,0.72638,1.0,717.0,0.00139,0.38682,1533,14711,0.007250144409416402,922570 -1 -2,'Nystatin' -1 -2 
706.0,213.0,0.76823,0.0,763.0,0,0.41974,1682,14711,0.006164333223270502,1518254 -11125315 -1 -2,'Dexamethasone' -11125315 -1 -2 
626.0,231.0,0.73046,0.0,714.0,0,0.39847,1571,14711,0.005801817996450206,1126658 -1 -2,'Hydromorphone' -1 -2 
620.0,285.0,0.68508,3.0,742.0,0.00403,0.37758,1650,14711,0.00578735899388394,956874 -11742253 -1 -2,'Furosemide' -11742253 -1 -2 
658.0,293.0,0.6919,2.0,772.0,0.00258,0.38261,1725,14711,0.0057526737255053344,906780 -1 -2,'Metoclopramide' -1 -2 
665.0,276.0,0.7067,3.0,764.0,0.00391,0.3911,1708,14711,0.005730747802183062,1742253 -1956874 -1 -2,'Levofloxacin' -1956874 -1 -2 
649.0,230.0,0.73834,3.0,715.0,0.00418,0.40827,1597,14711,0.005367849746587821,1742253 -119049105 -1 -2,'Levofloxacin' -119049105 -1 -2 
638.0,234.0,0.73165,1.0,711.0,0.0014,0.40341,1584,14711,0.005308127021575562,1551099 -1956874 -1 -2,'Prednisone' -1956874 -1 -2 
587.0,222.0,0.72559,2.0,664.0,0.003,0.39932,1475,14711,0.005102700730110021,1125315 1174888 -11518254 -1 -2,'Acetaminophen' 'Hydrocodone' -11518254 -1 -2 
612.0,246.0,0.71329,3.0,693.0,0.00431,0.39575,1554,14711,0.005027086238072244,19049105 -11742253 -1 -2,'Potassium Chloride' -11742253 -1 -2 
758.0,307.0,0.71174,1.0,822.0,0.00122,0.40201,1888,14711,0.00483073881804382,1125315 -11154029 -1 -2,'Acetaminophen' -11154029 -1 -2 
803.0,354.0,0.69404,0.0,876.0,0,0.39498,2033,14711,0.004665254125459349,1110410 -1 -2,'Morphine' -1 -2 
663.0,292.0,0.69424,2.0,744.0,0.00268,0.39095,1701,14711,0.004556828466070648,1742253 -11742253 -1 -2,'Levofloxacin' -11742253 -1 -2 
