956874 -1 956874 -1  GAIN: 0.004396169791402656
1174888 -1 1125315 -1 1713332 -1  GAIN: 0.0032701335933932236
1125315 -1 956874 -1  GAIN: 0.002932820120338764
1125315 -1 1308216 -1  GAIN: 0.002805510248544743
1125315 -1 1125315 -1 1713332 -1  GAIN: 0.0024936047376623383
1125315 -1 1174888 -1 1713332 -1  GAIN: 0.002410564519927057
967823 986417 -1  GAIN: 0.0023949154495541353
956874 -1 1125315 -1  GAIN: 0.0023639161872848996
1125315 -1 1125315 -1 1174888 -1 1174888 -1  GAIN: 0.0020745588434292984
1125315 -1 1174888 -1 1174888 -1 1125315 -1  GAIN: 0.002047561440112285
1786621 -1 1125315 -1  GAIN: 0.0020260010223117184
1125315 -1 1174888 -1 1125315 -1 1125315 -1  GAIN: 0.0018431005329216348
19049105 -1 1174888 -1  GAIN: 0.0017950162230175191
1125315 -1 1786621 -1  GAIN: 0.0017217826408938881
1174888 -1 1174888 -1 1125315 -1 1174888 -1  GAIN: 0.0017027143285432238
1332418 -1  GAIN: 0.0016410114436203765
1174888 -1 1713332 -1 1174888 -1  GAIN: 0.0016291395085755347
1201620 -1 1125315 -1  GAIN: 0.0015817198052801643
1174888 -1 956874 -1  GAIN: 0.0015584835275858119
1308216 -1 1308216 -1  GAIN: 0.0015355563451088766
1308216 -1 1174888 -1  GAIN: 0.0014795592174694711
1308216 -1 1125315 -1  GAIN: 0.001429412888213461
1174888 -1 1713332 -1 1125315 -1  GAIN: 0.0014253912545255946
1125315 1174888 -1 1713332 -1  GAIN: 0.0013440613554019628
1125315 -1 1713332 -1 1125315 -1  GAIN: 0.0013168239256588627
778711 -1  GAIN: 0.0012898782589272114
1713332 -1 1125315 1174888 -1  GAIN: 0.001213675643896783
1103314 -1  GAIN: 0.0012071076713407243
1742253 -1 1174888 -1  GAIN: 0.0011439573039924104
1174888 -1 1786621 -1  GAIN: 0.0011439573039924104
1125315 1174888 -1 19049105 -1  GAIN: 0.0010920536285317823
1125315 -1 1734104 -1 1125315 -1  GAIN: 0.0010741965725197357
1154343 -1 1125315 -1  GAIN: 0.0010421149398850305
1713332 -1 1713332 -1  GAIN: 0.0010166398185084784
1307046 -1 1125315 -1  GAIN: 9.84889372678236E-4
1713332 -1 19121608 -1  GAIN: 9.84889372678236E-4
1125315 -1 1201620 -1  GAIN: 8.938918071125408E-4
1149380 -1  GAIN: 8.751591050242646E-4
1125315 -1 1125315 -1 1734104 -1  GAIN: 8.62563425546289E-4
1518254 -1 1125315 -1  GAIN: 8.368213634435322E-4
1503297 -1 1503297 -1 1503297 -1  GAIN: 8.255935822572778E-4
1545958 -1  GAIN: 7.597823114121309E-4
19049105 -1 1125315 -1  GAIN: 7.106908738071053E-4
989878 -1  GAIN: 6.796109621626484E-4
1125315 1174888 -1 19121608 -1  GAIN: 6.669112504079151E-4
1125315 -1 1153013 -1  GAIN: 6.268557859284014E-4
1163944 -1  GAIN: 6.179128785313183E-4
1125315 -1 1154343 -1  GAIN: 5.071976512952516E-4
1174888 -1 1518254 -1  GAIN: 5.016315105188363E-4
1125315 -1 1705674 1836430 -1  GAIN: 4.6140436670215465E-4
1503297 -1 1734104 -1  GAIN: 4.325590252872405E-4
1742253 -1 1125315 -1  GAIN: 4.296279228984604E-4
974166 -1 974166 -1  GAIN: 4.2056527936884535E-4
1503297 -1 1125315 1174888 -1  GAIN: 4.1206115614035073E-4
1125315 1174888 -1 1125315 1174888 -1 1125315 1174888 -1  GAIN: 3.9160400553167526E-4
1125315 -1 1518254 -1  GAIN: 3.892877929362098E-4
1797513 -1 1125315 -1  GAIN: 3.608171465314581E-4
708298 1154029 -1  GAIN: 3.3386552508871115E-4
903963 -1  GAIN: 3.0901597235151104E-4
974166 -1 1125315 1174888 -1  GAIN: 2.936973359316491E-4
1734104 -1 1713332 -1  GAIN: 2.712539340761506E-4
1754994 -1  GAIN: 2.4316196620555885E-4
1174888 -1 1000560 -1  GAIN: 2.3696148806068396E-4
1125315 1174888 -1 1503297 -1  GAIN: 2.276565601569013E-4
744740 -1  GAIN: 2.2662465710989027E-4
781039 -1  GAIN: 2.2255333437264747E-4
1503297 -1 19121608 -1  GAIN: 2.0434578135896704E-4
1129625 -1  GAIN: 1.418411820628561E-4
923645 -1  GAIN: 1.400708610879384E-4
1177480 -1  GAIN: 1.2284639500722525E-4
19121608 -1 1125315 1174888 -1  GAIN: 1.128042611835731E-4
974166 -1 1503297 -1  GAIN: 1.0911857383657183E-4
1707164 -1  GAIN: 1.0729277077995304E-4
1125315 -1 1000560 -1  GAIN: 8.398223182182069E-5
1503297 -1 1713332 -1  GAIN: 8.032872869976582E-5
1713332 -1 1734104 -1  GAIN: 7.478105441919806E-5
1738521 -1  GAIN: 7.014180192479712E-5
1124957 1125315 -1  GAIN: 4.4042744835554775E-5
1174888 -1 974166 -1  GAIN: 4.027595828643663E-5
1136980 -1  GAIN: 4.027595828643663E-5
