19049105 -1  GAIN: 0.0026998341853750095
956874 -1  GAIN: 0.0023524446918559592
1308216 -1  GAIN: 0.0012681165049393383
1786621 -1  GAIN: 0.0011369616821691655
1503297 -1  GAIN: 0.0010160631452845392
1154343 -1  GAIN: 7.614905443647478E-4
1174888 -1 1125315 1174888 -1  GAIN: 7.517797705695687E-4
1125315 1174888 -1 1125315 -1  GAIN: 7.383386043221887E-4
1125315 1174888 -1 1174888 -1  GAIN: 7.18463286480487E-4
1000560 -1  GAIN: 6.504878243870916E-4
1742253 -1  GAIN: 5.470004733293955E-4
1518254 -1  GAIN: 5.072041713178437E-4
1125315 -1 1125315 1174888 -1  GAIN: 4.940835398618532E-4
1713332 -1  GAIN: 3.1447731859660154E-4
1539403 -1  GAIN: 2.3922731152951245E-4
974166 -1  GAIN: 2.363276922485597E-4
19121608 -1  GAIN: 2.2604536708448536E-4
1124957 -1  GAIN: 1.1554902111181577E-4
1506270 -1  GAIN: 9.337598749587139E-5
1797513 -1  GAIN: 1.60294878841853E-5
1734104 -1  GAIN: 4.981389838898762E-6
