notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
379.0,687.0,0.35553,50.0,0.0,1,0.38441,1116,9110,0.007602260389023057,956874 -1 956874 -1  -2 
302.0,647.0,0.31823,45.0,0.0,1,0.34909,994,9110,0.0068818641696534585,956874 -1 19049105 -1  -2 
480.0,453.0,0.51447,40.0,0.0,1,0.53443,973,9110,0.0049455686325928765,1125315 -1 1125315 -1 19121608 -1  -2 
384.0,520.0,0.42478,39.0,0.0,1,0.44857,943,9110,0.004868947432705697,1125315 -1 19049105 -1 1125315 -1  -2 
429.0,486.0,0.46885,38.0,0.0,1,0.49003,953,9110,0.0043690313473812884,1332418 -1 1125315 -1  -2 
570.0,496.0,0.53471,42.0,0.0,1,0.55235,1108,9110,0.0043658312218114725,1125315 1174888 -1 19121608 -1  -2 
330.0,552.0,0.37415,37.0,0.0,1,0.39935,919,9110,0.004331550531607655,956874 -1 1125315 1174888 -1  -2 
292.0,586.0,0.33257,36.0,0.0,1,0.35886,914,9110,0.004001846332891215,19049105 -1 956874 -1  -2 
380.0,641.0,0.37218,39.0,0.0,1,0.39528,1060,9110,0.0037415551264192693,1125315 1174888 -1 956874 -1  -2 
388.0,576.0,0.40249,37.0,0.0,1,0.42458,1001,9110,0.003564216555068555,1125315 -1 1125315 -1 19049105 -1  -2 
538.0,472.0,0.53267,38.0,0.0,1,0.54962,1048,9110,0.0035076604437195243,586413 -1  -2 
492.0,655.0,0.42895,41.0,0.0,1,0.44865,1188,9110,0.003384065579084402,1125315 1174888 -1 19049105 -1  -2 
571.0,819.0,0.41079,46.0,0.0,1,0.42967,1436,9110,0.0031771811290983586,19055720 -1  -2 
427.0,475.0,0.47339,34.0,0.0,1,0.49252,936,9110,0.0031083780304932826,1125315 -1 1125315 -1 1797513 -1  -2 
363.0,549.0,0.39803,34.0,0.0,1,0.41966,946,9110,0.003028565686955334,1125315 -1 1125315 -1 1742253 -1  -2 
594.0,498.0,0.54396,38.0,0.0,1,0.55929,1130,9110,0.002899329389084405,1307046 -1 1125315 -1 1125315 -1  -2 
