Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq
0.0,0.0,7.0,0.0,7,35,0.0,1125315 1174888 -1 1502905 -1  -2 
0.0,0.0,7.0,0.0,7,35,0.0,1125315 1174888 -1 19121608 -1  -2 
0.0,0.0,7.0,0.0,7,35,0.0,1125315 -1 956874 -1  -2 
0.0,0.0,7.0,0.0,7,35,0.0,1124957 -1 1174888 -1  -2 
0.0,0.0,9.0,0.0,9,35,0.0,1125315 -1 1174888 -1  -2 
0.0,0.0,7.0,0.0,7,35,0.0,956874 -1 19121608 -1  -2 
0.0,0.0,7.0,0.0,7,35,0.0,1713332 -1 19121608 -1  -2 
0.0,0.0,7.0,0.0,7,35,0.0,922570 -1  -2 
0.0,0.0,9.0,0.0,9,35,0.0,1154029 -1  -2 
0.0,0.0,9.0,0.0,9,35,0.0,1154343 -1  -2 
0.0,0.0,9.0,0.0,9,35,0.0,1307046 -1  -2 
0.0,0.0,8.0,0.0,8,35,0.0,1742253 -1  -2 
0.0,0.0,7.0,0.0,7,35,0.0,19055720 -1  -2 
