Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq,semantic
0.0,0.0,4.0,0.0,4,35,0.0,1797513 -1 1502905 -1 1125315 1174888 -1 1502905 -1  -2 ,'Ciprofloxacin' -1 'Insulin. Glargine. Human' -1 'Acetaminophen' 'Hydrocodone' -1 'Insulin. Glargine. Human' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1502905 -1 956874 -1 1125315 -1 1502905 -1 19121608 -1  -2 ,'Insulin. Glargine. Human' -1 'Furosemide' -1 'Acetaminophen' -1 'Insulin. Glargine. Human' -1 'Influenza virus vaccine' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1125315 -1 956874 -1 1174888 -1 1502905 -1  -2 ,'Acetaminophen' -1 'Furosemide' -1 'Hydrocodone' -1 'Insulin. Glargine. Human' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1154343 -1 1125315 1174888 -1 1502905 -1  -2 ,'Albuterol' -1 'Acetaminophen' 'Hydrocodone' -1 'Insulin. Glargine. Human' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1125315 1174888 -1 1322184 -1 1502905 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'clopidogrel' -1 'Insulin. Glargine. Human' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1713332 1759842 -1 744740 -1 1713332 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 'zolpidem' -1 'Amoxicillin' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,956874 -1 19121608 -1 956874 -1 956874 -1  -2 ,'Furosemide' -1 'Influenza virus vaccine' -1 'Furosemide' -1 'Furosemide' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,19001311 -1 1377898 -1 19001311 -1 1377898 -1  -2 ,'epoetin beta' -1 'Iron polysaccharide' -1 'epoetin beta' -1 'Iron polysaccharide' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1124957 1125315 -1 1174888 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 'Hydrocodone' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1125315 -1 1125315 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1125315 -1 19049105 -1 1373928 -1  -2 ,'Acetaminophen' -1 'Potassium Chloride' -1 'Hydralazine' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1713332 1759842 -1 19121608 -1  -2 ,'Amoxicillin' 'Clavulanate' -1 'Influenza virus vaccine' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,922570 -1 1125315 -1  -2 ,'Nystatin' -1 'Acetaminophen' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1154029 -1 906780 -1  -2 ,'Fentanyl' -1 'Metoclopramide' -1 -2 
0.0,0.0,5.0,0.0,5,35,0.0,956874 -1 1307046 -1  -2 ,'Furosemide' -1 'Metoprolol' -1 -2 
0.0,0.0,5.0,0.0,5,35,0.0,1322184 -1 1125315 -1  -2 ,'clopidogrel' -1 'Acetaminophen' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1713332 -1 1786621 -1  -2 ,'Amoxicillin' -1 'Cephalexin' -1 -2 
0.0,0.0,5.0,0.0,5,35,0.0,19001311 -1 1517740 -1  -2 ,'epoetin beta' -1 'paricalcitol' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,791967 -1  -2 ,'Lorazepam' -1 -2 
0.0,0.0,5.0,0.0,5,35,0.0,923645 -1  -2 ,'Omeprazole' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1129625 -1  -2 ,'Diphenhydramine' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1367500 -1  -2 ,'Losartan' -1 -2 
0.0,0.0,4.0,0.0,4,35,0.0,1550023 -1  -2 ,'Insulin. Lispro. Human' -1 -2 
0.0,0.0,6.0,0.0,6,35,0.0,19015230 -1  -2 ,'Adenosine Triphosphate' -1 -2 
0.0,0.0,6.0,0.0,6,35,0.0,19111620 -1  -2 ,'Folic Acid' -1 -2 
