Outlier_Predict_Alive,outlier_Death,outlier_Predict_Death,Outlier_Alive,support,total_patients,fisherScore,seq,semantic
0.0,0.0,11.0,0.0,11,83,0.0,1125315 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,939506 967823 986417 19049105 -1  -2 ,'Sodium Bicarbonate' 'Sodium Chloride' 'POLYETHYLENE GLYCOL 3350' 'Potassium Chloride' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,956874 -1 1125315 1174888 -1  -2 ,'Furosemide' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,956874 -1 797399 -1  -2 ,'Furosemide' -1 'gabapentin' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,797399 -1 956874 -1  -2 ,'gabapentin' -1 'Furosemide' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,903963 -1 903963 -1  -2 ,'Triamcinolone' -1 'Triamcinolone' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,708298 1154029 -1  -2 ,'Midazolam' 'Fentanyl' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,950637 -1 950637 -1  -2 ,'Tacrolimus' -1 'Tacrolimus' -1 -2 
0.0,0.0,14.0,0.0,14,83,0.0,956874 -1 956874 -1  -2 ,'Furosemide' -1 'Furosemide' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,1125315 -1 1000560 -1  -2 ,'Acetaminophen' -1 'Ondansetron' -1 -2 
0.0,0.0,10.0,0.0,10,83,0.0,1124957 1125315 -1  -2 ,'Oxycodone' 'Acetaminophen' -1 -2 
0.0,0.0,10.0,0.0,10,83,0.0,1125315 -1 1797513 -1  -2 ,'Acetaminophen' -1 'Ciprofloxacin' -1 -2 
0.0,0.0,20.0,0.0,20,83,0.0,1705674 1836430 -1  -2 ,'Trimethoprim' 'Sulfamethoxazole' -1 -2 
0.0,0.0,10.0,0.0,10,83,0.0,781039 -1  -2 ,'Alprazolam' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,906780 -1  -2 ,'Metoclopramide' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,948078 -1  -2 ,'pantoprazole' -1 -2 
0.0,0.0,15.0,0.0,15,83,0.0,970250 -1  -2 ,'Spironolactone' -1 -2 
0.0,0.0,15.0,0.0,15,83,0.0,987245 -1  -2 ,'Lactulose' -1 -2 
0.0,0.0,17.0,0.0,17,83,0.0,989878 -1  -2 ,'Lidocaine' -1 -2 
0.0,0.0,19.0,0.0,19,83,0.0,1000560 -1  -2 ,'Ondansetron' -1 -2 
0.0,0.0,10.0,0.0,10,83,0.0,1112921 -1  -2 ,'Ipratropium' -1 -2 
0.0,0.0,16.0,0.0,16,83,0.0,1126658 -1  -2 ,'Hydromorphone' -1 -2 
0.0,0.0,12.0,0.0,12,83,0.0,1153013 -1  -2 ,'Promethazine' -1 -2 
0.0,0.0,15.0,0.0,15,83,0.0,1307046 -1  -2 ,'Metoprolol' -1 -2 
0.0,0.0,15.0,0.0,15,83,0.0,1308216 -1  -2 ,'Lisinopril' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,1501700 -1  -2 ,'Thyroxine' -1 -2 
0.0,0.0,14.0,0.0,14,83,0.0,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
0.0,0.0,9.0,0.0,9,83,0.0,1567198 -1  -2 ,'Insulin. Aspart. Human' -1 -2 
0.0,0.0,12.0,0.0,12,83,0.0,1777806 -1  -2 ,'Ceftriaxone' -1 -2 
0.0,0.0,22.0,0.0,22,83,0.0,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
