notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq
879.0,1534.0,0.36428,75.0,0.0,1,0.38344,2488,9110,0.004989634415204861,956874 -1  -2 
1502.0,1275.0,0.54087,77.0,0.0,1,0.55326,2854,9110,0.003674135175177098,19121608 -1  -2 
969.0,1057.0,0.47828,58.0,0.0,1,0.4928,2084,9110,0.0027642843681006126,1154029 -1  -2 
1123.0,1439.0,0.43833,68.0,0.0,1,0.45285,2630,9110,0.0026413277254653017,19049105 -1  -2 
1034.0,1027.0,0.5017,57.0,0.0,1,0.51511,2118,9110,0.00240719204903629,1125315 -1 1125315 -1 1125315 -1  -2 
910.0,1239.0,0.42345,58.0,0.0,1,0.4386,2207,9110,0.002259331301781645,1742253 -1  -2 
919.0,917.0,0.50054,50.0,0.0,1,0.51379,1886,9110,0.0019266121084478447,1125315 -1 1174888 -1 1125315 -1  -2 
1043.0,818.0,0.56045,50.0,0.0,1,0.57195,1911,9110,0.001833876795883785,1307046 -1 1125315 -1  -2 
1051.0,814.0,0.56354,50.0,0.0,1,0.57493,1915,9110,0.0018193576893192408,1125315 -1 1307046 -1  -2 
929.0,930.0,0.49973,49.0,0.0,1,0.51258,1908,9110,0.0016632438035126744,1125315 -1 1125315 -1 1174888 -1  -2 
803.0,1052.0,0.43288,46.0,0.0,1,0.44661,1901,9110,0.0011948877922430376,1000560 -1  -2 
856.0,1134.0,0.43015,48.0,0.0,1,0.44357,2038,9110,0.0011126059150973224,1154343 -1  -2 
1023.0,944.0,0.52008,47.0,0.0,1,0.53128,2014,9110,0.0010354809145430434,974166 -1  -2 
1014.0,938.0,0.51947,46.0,0.0,1,0.53053,1998,9110,9.412544869010084E-4,1125315 -1 1713332 -1  -2 
968.0,988.0,0.49489,46.0,0.0,1,0.50649,2002,9110,9.316681364910178E-4,1786621 -1  -2 
983.0,1044.0,0.48495,47.0,0.0,1,0.49662,2074,9110,8.910959083442176E-4,1797513 -1  -2 
1001.0,976.0,0.50632,46.0,0.0,1,0.51755,2023,9110,8.824126696433291E-4,1125315 1174888 -1 1125315 1174888 -1  -2 
1275.0,1054.0,0.54745,51.0,0.0,1,0.55714,2380,9110,7.189439400090937E-4,1506270 -1  -2 
974.0,930.0,0.51155,42.0,0.0,1,0.5221,1946,9110,5.828534882072592E-4,1713332 -1 1125315 -1  -2 
1490.0,1280.0,0.53791,57.0,0.0,1,0.54722,2827,9110,5.490737180181085E-4,1734104 -1  -2 
1588.0,1004.0,0.61265,53.0,0.0,1,0.62042,2645,9110,4.7100284867547396E-4,1539403 -1  -2 
1005.0,1126.0,0.47161,43.0,0.0,1,0.48206,2174,9110,3.1803191887268804E-4,1124957 -1  -2 
1673.0,1170.0,0.58846,54.0,0.0,1,0.59613,2897,9110,2.4064199317796222E-4,1308216 -1  -2 
935.0,1100.0,0.45946,39.0,0.0,1,0.46962,2074,9110,1.7026783095049067E-4,1551099 -1  -2 
1498.0,910.0,0.62209,44.0,0.0,1,0.62887,2452,9110,1.0819436295679263E-4,1545958 -1  -2 
797.0,1080.0,0.42461,28.0,0.0,1,0.43307,1905,9110,2.0889546689367616E-5,1518254 -1  -2 
1582.0,858.0,0.64836,37.0,0.0,1,0.65361,2477,9110,1.814345990935763E-5,1361711 -1  -2 
2020.0,1079.0,0.65182,51.0,0.0,1,0.65746,3150,9110,5.001022053458683E-6,1322184 -1  -2 
