notOutlier_Alive,notOutlier_Death,notOutlier_survival_rate,outlier_Alive,outlier_Death,outlier_survival_rate,seq_survival_rate,support,total_patients,fisherScore,seq,semantic
650.0,1280.0,0.33679,897.0,0.0,1,0.54722,2827,9110,0.006948802425900948,1734104 -1  -2 ,'Azithromycin' -1 -2 
576.0,1054.0,0.35337,750.0,0.0,1,0.55714,2380,9110,0.005025433649796712,1506270 -1  -2 ,'Methylprednisolone' -1 -2 
1115.0,1079.0,0.5082,956.0,0.0,1,0.65746,3150,9110,0.004540525494404891,1322184 -1  -2 ,'clopidogrel' -1 -2 
429.0,944.0,0.31245,641.0,0.0,1,0.53128,2014,9110,0.004530494999458257,974166 -1  -2 ,'Hydrochlorothiazide' -1 -2 
846.0,1004.0,0.4573,795.0,0.0,1,0.62042,2645,9110,0.003023222547038975,1539403 -1  -2 ,'Simvastatin' -1 -2 
733.0,1275.0,0.36504,846.0,0.0,1,0.55326,2854,9110,0.0026716295616076398,19121608 -1  -2 ,'Influenza virus vaccine' -1 -2 
881.0,858.0,0.50661,738.0,0.0,1,0.65361,2477,9110,0.0023876808976987024,1361711 -1  -2 ,'Nitroglycerin' -1 -2 
403.0,1044.0,0.27851,627.0,0.0,1,0.49662,2074,9110,0.0023828082477477166,1797513 -1  -2 ,'Ciprofloxacin' -1 -2 
454.0,1027.0,0.30655,637.0,0.0,1,0.51511,2118,9110,0.002259048324790764,1125315 -1 1125315 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Acetaminophen' -1 -2 
401.0,917.0,0.30425,568.0,0.0,1,0.51379,1886,9110,0.0019888464048773017,1125315 -1 1174888 -1 1125315 -1  -2 ,'Acetaminophen' -1 'Hydrocodone' -1 'Acetaminophen' -1 -2 
526.0,814.0,0.39254,575.0,0.0,1,0.57493,1915,9110,0.0019329221126509477,1125315 -1 1307046 -1  -2 ,'Acetaminophen' -1 'Metoprolol' -1 -2 
890.0,1170.0,0.43204,837.0,0.0,1,0.59613,2897,9110,0.0016462268359284282,1308216 -1  -2 ,'Lisinopril' -1 -2 
414.0,930.0,0.30804,564.0,0.0,1,0.51258,1908,9110,0.0014742187114418744,1125315 -1 1125315 -1 1174888 -1  -2 ,'Acetaminophen' -1 'Acetaminophen' -1 'Hydrocodone' -1 -2 
307.0,1134.0,0.21305,597.0,0.0,1,0.44357,2038,9110,0.0013536729167205476,1154343 -1  -2 ,'Albuterol' -1 -2 
459.0,976.0,0.31986,588.0,0.0,1,0.51755,2023,9110,0.001145736170357066,1125315 1174888 -1 1125315 1174888 -1  -2 ,'Acetaminophen' 'Hydrocodone' -1 'Acetaminophen' 'Hydrocodone' -1 -2 
479.0,938.0,0.33804,581.0,0.0,1,0.53053,1998,9110,0.0011384079412837186,1125315 -1 1713332 -1  -2 ,'Acetaminophen' -1 'Amoxicillin' -1 -2 
450.0,930.0,0.32609,566.0,0.0,1,0.5221,1946,9110,0.0011055939717384783,1713332 -1 1125315 -1  -2 ,'Amoxicillin' -1 'Acetaminophen' -1 -2 
844.0,910.0,0.48119,698.0,0.0,1,0.62887,2452,9110,9.106818751250812E-4,1545958 -1  -2 ,'atorvastatin' -1 -2 
546.0,818.0,0.40029,547.0,0.0,1,0.57195,1911,9110,7.540189292530354E-4,1307046 -1 1125315 -1  -2 ,'Metoprolol' -1 'Acetaminophen' -1 -2 
449.0,988.0,0.31246,565.0,0.0,1,0.50649,2002,9110,5.49144182719526E-4,1786621 -1  -2 ,'Cephalexin' -1 -2 
396.0,1100.0,0.26471,578.0,0.0,1,0.46962,2074,9110,3.8482823486242447E-4,1551099 -1  -2 ,'Prednisone' -1 -2 
347.0,1080.0,0.24317,478.0,0.0,1,0.43307,1905,9110,1.9231448205446846E-4,1518254 -1  -2 ,'Dexamethasone' -1 -2 
366.0,1239.0,0.22804,602.0,0.0,1,0.4386,2207,9110,1.6440939425275603E-4,1742253 -1  -2 ,'Levofloxacin' -1 -2 
493.0,1126.0,0.30451,555.0,0.0,1,0.48206,2174,9110,9.097541631944001E-5,1124957 -1  -2 ,'Oxycodone' -1 -2 
316.0,1534.0,0.17081,638.0,0.0,1,0.38344,2488,9110,7.838616082301641E-5,956874 -1  -2 ,'Furosemide' -1 -2 
484.0,1439.0,0.25169,707.0,0.0,1,0.45285,2630,9110,7.626121543379166E-5,19049105 -1  -2 ,'Potassium Chloride' -1 -2 
337.0,1052.0,0.24262,512.0,0.0,1,0.44661,1901,9110,5.8289785649530835E-5,1000560 -1  -2 ,'Ondansetron' -1 -2 
468.0,1057.0,0.30689,559.0,0.0,1,0.4928,2084,9110,4.5411903095739104E-5,1154029 -1  -2 ,'Fentanyl' -1 -2 
